Вольтаж,pH,Температура,Влажность,набор_воды,сброс_воды
0.06,0.19,26.30,30.10,0,1 
0.11,0.39,26.40,30.10,1,0
0.17,0.59,26.30,30.20,0,1
0.22,0.79,26.30,30.20,1,0
0.28,0.98,26.30,30.10,0,1
0.34,1.18,26.30,30.20,1,0
0.06,0.20,26.30,28.60,0,1
0.11,0.40,26.20,28.60,0,1
0.17,0.59,26.30,28.60,0,1
0.22,0.79,26.20,28.60,1,1
0.28,0.98,26.30,28.70,0,1
0.34,1.18,26.20,28.60,0,1
0.39,1.38,26.80,82.70,0,1
0.45,1.58,27.50,99.90,0,1
0.51,1.78,27.80,99.90,0,1
0.57,1.98,28.10,99.90,0,1
0.62,2.18,28.30,99.90,0,1
0.68,2.38,28.10,99.90,0,1
0.74,2.57,27.90,99.90,0,1
0.79,2.77,27.70,99.90,0,1
0.85,2.96,27.40,99.90,0,1
0.90,3.16,27.20,99.90,0,1
0.96,3.37,27.20,99.90,0,1
1.02,3.57,27.40,99.90,0,1
1.08,3.77,27.80,99.90,0,1
1.13,3.97,28.10,99.90,0,1
1.19,4.16,28.40,99.90,0,1
1.25,4.36,28.80,99.90,0,1
1.30,4.55,29.00,99.90,0,1
1.36,4.75,29.10,99.90,0,1
1.42,4.95,29.10,99.90,0,1
1.47,5.15,29.30,99.90,1,1
1.53,5.35,29.50,92.50,0,1
1.59,5.55,29.70,76.80,1,1
1.64,5.75,29.70,61.50,0,1
1.70,5.94,29.80,52.20,1,1
1.75,6.14,29.90,46.70,0,1
1.81,6.34,29.90,41.70,0,1
1.87,6.54,29.90,38.50,0,1
1.93,6.74,29.90,35.80,0,1
1.98,6.94,29.90,34.00,0,1
2.04,7.13,30.20,87.40,0,1
2.10,7.34,29.90,53.00,0,1
2.15,7.54,29.90,46.00,0,1
2.15,7.54,29.90,41.40,0,1
2.15,7.54,29.90,57.00,0,1
2.15,7.53,30.20,99.60,0,1
2.15,7.53,30.00,74.80,0,1
2.15,7.54,29.90,57.60,0,1
2.16,7.55,29.90,50.30,0,1
2.16,7.55,29.90,44.70,0,1
2.16,7.55,29.90,40.60,0,1
2.16,7.54,29.80,37.50,0,1
2.15,7.54,29.80,35.40,0,1
2.15,7.53,29.70,34.00,0,1
2.15,7.53,29.70,32.30,0,1
0.06,0.20,26.30,28.60,0,1
0.11,0.40,26.20,28.60,0,1
0.17,0.59,26.30,28.60,0,1
0.22,0.79,26.20,28.60,1,1
0.28,0.98,26.30,28.70,0,1
0.34,1.18,26.20,28.60,0,1
0.39,1.38,26.80,82.70,0,1
0.45,1.58,27.50,99.90,0,1
0.51,1.78,27.80,99.90,0,1
0.57,1.98,28.10,99.90,0,1
0.62,2.18,28.30,99.90,0,1
0.68,2.38,28.10,99.90,0,1
0.74,2.57,27.90,99.90,0,1
0.79,2.77,27.70,99.90,0,1
0.85,2.96,27.40,99.90,0,1
0.90,3.16,27.20,99.90,0,1
0.96,3.37,27.20,99.90,0,1
1.02,3.57,27.40,99.90,0,1
1.08,3.77,27.80,99.90,0,1
1.13,3.97,28.10,99.90,0,1
1.19,4.16,28.40,99.90,0,1
1.25,4.36,28.80,99.90,0,1
1.30,4.55,29.00,99.90,0,1
1.36,4.75,29.10,99.90,0,1
1.42,4.95,29.10,99.90,0,1
1.47,5.15,29.30,99.90,1,1
1.53,5.35,29.50,92.50,0,1
1.59,5.55,29.70,76.80,1,1
1.64,5.75,29.70,61.50,0,1
1.70,5.94,29.80,52.20,1,1
1.75,6.14,29.90,46.70,0,1
1.81,6.34,29.90,41.70,0,1
1.87,6.54,29.90,38.50,0,1
1.93,6.74,29.90,35.80,0,1
1.98,6.94,29.90,34.00,0,1
2.04,7.13,30.20,87.40,0,1
2.10,7.34,29.90,53.00,0,1
2.15,7.54,29.90,46.00,0,1
2.15,7.54,29.90,41.40,0,1
2.15,7.54,29.90,57.00,0,1
2.15,7.53,30.20,99.60,0,1
2.15,7.53,30.00,74.80,0,1
2.15,7.54,29.90,57.60,0,1
2.16,7.55,29.90,50.30,0,1
2.16,7.55,29.90,44.70,0,1
2.16,7.55,29.90,40.60,0,1
2.16,7.54,29.80,37.50,0,1
2.15,7.54,29.80,35.40,0,1
2.15,7.53,29.70,34.00,0,1
2.15,7.53,29.70,32.30,0,1
2.15,7.54,29.60,31.10,0,1
2.15,7.54,29.60,30.10,0,1
2.16,7.55,29.50,29.60,0,1
2.16,7.56,29.50,29.10,0,1
2.16,7.56,29.50,28.80,0,1
2.16,7.56,29.40,28.50,0,1
2.16,7.56,29.40,28.30,0,1
2.16,7.56,29.30,28.10,0,1
2.16,7.56,29.30,27.90,0,1
2.16,7.56,29.20,27.80,0,1
2.16,7.56,29.20,27.70,0,1
2.16,7.56,29.20,27.70,0,1
2.16,7.56,29.10,27.60,0,1
2.16,7.55,29.10,27.60,0,1
2.16,7.55,29.00,27.60,0,1
2.16,7.55,29.00,27.60,0,1
2.16,7.55,29.00,27.60,0,1
2.16,7.55,28.90,27.60,0,1
2.16,7.56,28.90,27.60,0,1
2.16,7.56,28.90,27.60,0,1
2.16,7.56,28.80,27.60,0,1
2.16,7.55,28.80,27.60,0,1
2.16,7.55,28.70,27.60,0,1
2.16,7.55,28.70,27.60,0,1
2.16,7.56,28.60,27.60,0,1
2.16,7.56,28.60,27.70,0,1
2.16,7.56,28.50,27.60,0,1
2.16,7.56,28.50,27.70,0,1
2.16,7.56,28.50,27.70,0,1
2.16,7.56,28.50,27.70,0,1
2.16,7.56,28.40,27.80,0,1
2.16,7.55,28.40,27.80,0,1
2.16,7.55,28.30,27.80,0,1
2.16,7.55,28.30,27.80,0,1
2.16,7.56,28.30,27.90,0,1
2.16,7.56,28.30,27.90,0,1
2.16,7.57,28.20,27.90,0,1
2.16,7.57,28.10,27.90,0,1
2.16,7.57,28.10,27.90,0,1
2.16,7.57,28.10,27.90,0,1
2.16,7.56,28.10,28.00,0,1
2.16,7.56,28.00,28.00,0,1
2.16,7.55,28.10,28.10,0,1
2.16,7.55,28.00,28.10,0,1
2.16,7.55,28.00,28.10,0,1
2.16,7.55,27.90,28.10,0,1
2.16,7.55,27.90,28.10,0,1
2.16,7.55,27.90,28.20,0,1
2.16,7.55,27.90,28.20,0,1
2.16,7.55,27.80,28.20,0,1
2.16,7.55,27.80,28.30,0,1
2.16,7.55,27.80,28.30,0,1
2.16,7.55,27.80,28.40,0,1
2.16,7.55,27.70,28.40,0,1
2.16,7.55,27.70,28.40,0,1
2.16,7.56,27.70,28.40,0,1
2.16,7.56,27.70,28.40,0,1
2.16,7.55,27.60,28.40,0,1
2.16,7.55,27.60,28.40,0,1
2.16,7.55,27.60,28.50,0,1
2.16,7.55,27.50,28.50,0,1
2.16,7.55,27.50,28.50,0,1
2.16,7.56,27.50,28.50,0,1
2.16,7.56,27.50,28.60,0,1
2.16,7.56,27.50,28.60,0,1
2.16,7.55,27.40,28.60,0,1
2.16,7.55,27.40,28.60,0,1
2.16,7.55,27.40,28.70,0,1
2.16,7.55,27.40,28.70,0,1
2.16,7.55,27.40,28.70,0,1
2.16,7.56,27.30,28.70,0,1
2.16,7.56,27.30,28.70,0,1
2.16,7.56,27.30,28.70,0,1
2.16,7.55,27.30,28.70,0,1
2.16,7.55,27.30,28.80,0,1
2.16,7.55,27.30,28.80,0,1
2.16,7.55,27.20,28.80,0,1
2.16,7.55,27.20,28.80,0,1
2.16,7.55,27.20,28.80,0,1
2.16,7.55,27.20,28.90,0,1
2.16,7.55,27.20,28.90,0,1
2.16,7.55,27.20,29.00,0,1
2.16,7.55,27.10,28.90,0,1
2.16,7.56,27.20,29.00,0,1
2.16,7.56,27.10,29.00,0,1
2.16,7.55,27.10,29.00,0,1
2.16,7.55,27.10,29.00,0,1
2.15,7.54,27.10,29.00,0,1
2.15,7.54,27.10,29.10,0,1
2.15,7.54,27.10,29.10,0,1
2.16,7.54,27.00,29.10,0,1
2.16,7.55,27.00,29.10,0,1
2.16,7.56,27.00,29.10,0,1
2.16,7.56,27.00,29.10,0,1
2.16,7.56,27.00,29.10,0,1
2.16,7.55,27.00,29.20,0,1
2.16,7.55,27.00,29.20,0,1
2.15,7.54,26.90,29.20,0,1
2.15,7.54,27.00,29.30,0,1
2.15,7.54,26.90,29.20,0,1
2.16,7.55,26.90,29.20,0,1
2.16,7.55,26.90,29.20,0,1
2.16,7.55,26.90,29.20,0,1
2.16,7.55,26.90,29.20,0,1
2.16,7.55,26.80,29.20,0,1
2.16,7.55,26.90,29.20,0,1
2.16,7.56,26.90,29.20,0,1
2.16,7.56,26.90,29.20,0,1
2.16,7.56,26.80,29.20,0,1
2.16,7.56,26.80,29.20,0,1
2.16,7.55,26.80,29.20,0,1
2.16,7.54,26.80,29.20,0,1
2.15,7.54,26.80,29.20,0,1
2.16,7.54,26.80,29.20,0,1
2.16,7.54,26.80,29.20,0,1
2.15,7.54,26.80,29.30,0,1
2.15,7.54,26.80,29.30,0,1
2.15,7.54,26.80,29.30,0,1
2.16,7.55,26.80,29.30,0,1
2.16,7.55,26.80,29.30,0,1
2.16,7.56,26.70,29.30,0,1
2.16,7.56,26.70,29.30,0,1
2.16,7.56,26.70,29.30,0,1
2.16,7.56,26.70,29.30,0,1
2.16,7.55,26.70,29.30,0,1
2.16,7.55,26.70,29.30,0,1
2.16,7.55,26.70,29.30,0,1
2.16,7.55,26.70,29.30,0,1
2.16,7.55,26.70,29.30,0,1
2.16,7.55,26.70,29.30,0,1
2.16,7.55,26.70,29.40,0,1
2.16,7.55,26.60,29.40,0,1
2.16,7.55,26.60,29.40,0,1
2.16,7.55,26.70,29.40,0,1
2.16,7.55,26.60,29.40,0,1
2.16,7.55,26.60,29.40,0,1
